Type,Trans Date,Post Date,Description,Amount
SALE,03/08/2015,03/09/2015,"UBER",-31.16
SALE,03/16/2015,03/18/2015,"LOPEZ",-65.81
SALE,03/12/2015,03/13/2015,"AIRPAIR INC.",-70.00
SALE,05/09/2015,05/11/2015,"STONE OVEN BAKERY",-16.50
SALE,03/30/2015,03/30/2015,"UBER TECHNOLOGIES INC",-3.80
SALE,03/15/2015,03/16/2015,"APPLETREE BOOKS",-36.67
SALE,03/17/2015,03/19/2015,"NIGHTTOWN",-75.62
SALE,05/14/2015,05/17/2015,"STONE OVEN BAKERY",-18.25
SALE,03/09/2015,03/09/2015,"UBER TECHNOLOGIES INC",-13.98
SALE,04/08/2015,04/09/2015,"WHOLEFDS CTR 10199",-92.62
SALE,03/07/2015,03/09/2015,"SMITH   WOLLEN00001016",-40.34
SALE,04/02/2015,04/05/2015,"KWIK FILL 228",-6.40
SALE,05/28/2015,05/31/2015,"AIR CANADA  0147623374274",-796.38
SALE,04/27/2015,04/28/2015,"HILTON GARDEN INN DETROIT",-34.00
SALE,03/07/2015,03/09/2015,"MARRIOTT 337U4 SOUTH BCH",-6.00
